CUI,LAT,TS,LUI,STT,SUI,ISPREF,AUI,SAUI,SCUI,SDUI,SAB,TTY,CODE,STR,SRL,SUPPRESS,CVF,dummy,STYs,ICD10CMCode,concept_code,concept_id
C2844837,ENG,P,L9347905,PF,S11632300,N,A17805208,,,S52.221S,ICD10CM,PT,S52.221S,"Displaced transverse fracture of shaft of right ulna, sequela",4,N,,,['Injury or Poisoning'],S52221S,S52.221S,45597922
C2844845,ENG,P,L9378823,PF,S11632216,N,A17869122,,,S52.222G,ICD10CM,PT,S52.222G,"Displaced transverse fracture of shaft of left ulna, subsequent encounter for closed fracture with delayed healing",4,N,,,['Injury or Poisoning'],S52222G,S52.222G,45578507
C2844861,ENG,P,L9399034,PF,S11632397,N,A17818141,,,S52.223F,ICD10CM,PT,S52.223F,"Displaced transverse fracture of shaft of unspecified ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",4,N,,,['Injury or Poisoning'],S52223F,S52.223F,45540055
C2844862,ENG,P,L9368506,PF,S11632386,N,A17779665,,,S52.223G,ICD10CM,PT,S52.223G,"Displaced transverse fracture of shaft of unspecified ulna, subsequent encounter for closed fracture with delayed healing",4,N,,,['Injury or Poisoning'],S52223G,S52.223G,45549692
C2844867,ENG,P,L9347920,PF,S11632396,N,A17805215,,,S52.223N,ICD10CM,PT,S52.223N,"Displaced transverse fracture of shaft of unspecified ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",4,N,,,['Injury or Poisoning'],S52223N,S52.223N,45597924
C2844873,ENG,P,L9401720,PF,S11655604,N,A17805217,,,S52.224A,ICD10CM,PT,S52.224A,"Nondisplaced transverse fracture of shaft of right ulna, initial encounter for closed fracture",4,N,,,['Injury or Poisoning'],S52224A,S52.224A,45554471
C2844876,ENG,P,L9401723,PF,S11655611,N,A17779669,,,S52.224D,ICD10CM,PT,S52.224D,"Nondisplaced transverse fracture of shaft of right ulna, subsequent encounter for closed fracture with routine healing",4,N,,,['Injury or Poisoning'],S52224D,S52.224D,45588240
C2844885,ENG,P,L9401722,PF,S11655609,N,A17843625,,,S52.224P,ICD10CM,PT,S52.224P,"Nondisplaced transverse fracture of shaft of right ulna, subsequent encounter for closed fracture with malunion",4,N,,,['Injury or Poisoning'],S52224P,S52.224P,45607535
C2844892,ENG,P,L9340497,PF,S11655521,N,A17779672,,,S52.225C,ICD10CM,PT,S52.225C,"Nondisplaced transverse fracture of shaft of left ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",4,N,,,['Injury or Poisoning'],S52225C,S52.225C,45544874
C2844898,ENG,P,L9350644,PF,S11655531,N,A17805221,,,S52.225J,ICD10CM,PT,S52.225J,"Nondisplaced transverse fracture of shaft of left ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",4,N,,,['Injury or Poisoning'],S52225J,S52.225J,45540056
