code,code_type,description,concept_id,code_class,concept_name,domain_id,concept_code,domain_id,concept_class_id,vocabulary_id,mapped_concept_id,mapped_concept_name,mapped_domain_id,mapped_concept_code,mapped_concept_class_id,mapped_vocabulary_id
K29.21,ICD10CM,Alcoholic gastritis with bleeding,45591582,alcohol,Alcoholic gastritis with bleeding,Condition,K29.21,Condition,5-char billing code,ICD10CM,45757783,Gastric hemorrhage due to alcoholic gastritis,Condition,40241000119109,Disorder,SNOMED
K70.0,ICD10CM,Alcoholic fatty liver,35208330,alcohol,Alcoholic fatty liver,Condition,K70.0,Condition,4-char billing code,ICD10CM,193256,Alcoholic fatty liver,Condition,50325005,Disorder,SNOMED
K70.30,ICD10CM,Alcoholic cirrhosis of liver without ascites,45605952,alcohol,Alcoholic cirrhosis of liver without ascites,Condition,K70.30,Condition,5-char billing code,ICD10CM,196463,Alcoholic cirrhosis,Condition,420054005,Disorder,SNOMED
K70.31,ICD10CM,Alcoholic cirrhosis of liver with ascites,45538545,alcohol,Alcoholic cirrhosis of liver with ascites,Condition,K70.31,Condition,5-char billing code,ICD10CM,196463,Alcoholic cirrhosis,Condition,420054005,Disorder,SNOMED
K70.31,ICD10CM,Alcoholic cirrhosis of liver with ascites,45538545,alcohol,Alcoholic cirrhosis of liver with ascites,Condition,K70.31,Condition,5-char billing code,ICD10CM,46269816,Ascites due to alcoholic cirrhosis,Condition,1082601000119104,Disorder,SNOMED
K70.9,ICD10CM,"Alcoholic liver disease, unspecified",35208332,alcohol,"Alcoholic liver disease, unspecified",Condition,K70.9,Condition,4-char billing code,ICD10CM,201612,Alcoholic liver damage,Condition,41309000,Disorder,SNOMED
T51.0X1A,ICD10CM,"Toxic effect of ethanol, accidental (unintentional), initial encounter",45575401,alcohol,"Toxic effect of ethanol, accidental (unintentional), initial encounter",Condition,T51.0X1A,Condition,7-char billing code,ICD10CM,435983,Accidental poisoning with ethyl alcohol,Condition,287166006,Disorder,SNOMED
T51.0X1A,ICD10CM,"Toxic effect of ethanol, accidental (unintentional), initial encounter",45575401,alcohol,"Toxic effect of ethanol, accidental (unintentional), initial encounter",Condition,T51.0X1A,Condition,7-char billing code,ICD10CM,440279,Accident,Observation,55566008,Event,SNOMED
T51.0X1D,ICD10CM,"Toxic effect of ethanol, accidental (unintentional), subsequent encounter",45536867,alcohol,"Toxic effect of ethanol, accidental (unintentional), subsequent encounter",Condition,T51.0X1D,Condition,7-char billing code,ICD10CM,435983,Accidental poisoning with ethyl alcohol,Condition,287166006,Disorder,SNOMED
T51.0X1D,ICD10CM,"Toxic effect of ethanol, accidental (unintentional), subsequent encounter",45536867,alcohol,"Toxic effect of ethanol, accidental (unintentional), subsequent encounter",Condition,T51.0X1D,Condition,7-char billing code,ICD10CM,440279,Accident,Observation,55566008,Event,SNOMED
T51.0X1S,ICD10CM,"Toxic effect of ethanol, accidental (unintentional), sequela",45556087,alcohol,"Toxic effect of ethanol, accidental (unintentional), sequela",Condition,T51.0X1S,Condition,7-char billing code,ICD10CM,441768,Disorder due to and following accidental poisoning,Condition,218249005,Disorder,SNOMED
T51.0X2A,ICD10CM,"Toxic effect of ethanol, intentional self-harm, initial encounter",45585063,alcohol,"Toxic effect of ethanol, intentional self-harm, initial encounter",Condition,T51.0X2A,Condition,7-char billing code,ICD10CM,436585,Toxic effect of ethyl alcohol,Condition,82782008,Disorder,SNOMED
