code,code_type,description,concept_id,code_class
Z95.820,ICD10CM,Peripheral vascular angioplasty status with implants and grafts,45605178,pvd
I73.89,ICD10CM,Other specified peripheral vascular diseases,45567223,pvd
K55.9,ICD10CM,"Vascular disorder of intestine, unspecified",35208278,pvd
I70.201,ICD10CM,"Unspecified atherosclerosis of native arteries of extremities, right leg",45557568,pvd
I70.211,ICD10CM,"Atherosclerosis of native arteries of extremities with intermittent claudication, right leg",45605828,pvd
I70.232,ICD10CM,Atherosclerosis of native arteries of right leg with ulceration of calf,45591496,pvd
I70.241,ICD10CM,Atherosclerosis of native arteries of left leg with ulceration of thigh,45581799,pvd
I70.25,ICD10CM,Atherosclerosis of native arteries of other extremities with ulceration,45548061,pvd
I70.261,ICD10CM,"Atherosclerosis of native arteries of extremities with gangrene, right leg",45538422,pvd
I70.302,ICD10CM,"Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities, left leg",45562387,pvd
I70.319,ICD10CM,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication, unspecified extremity",45572118,pvd
I70.334,ICD10CM,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of heel and midfoot,45548062,pvd
I70.345,ICD10CM,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of other part of foot,45557575,pvd
I70.348,ICD10CM,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of other part of lower leg,45562390,pvd
I70.363,ICD10CM,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, bilateral legs",45533485,pvd
I70.442,ICD10CM,Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of calf,45572122,pvd
I70.449,ICD10CM,Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of unspecified site,45605837,pvd
I70.462,ICD10CM,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, left leg",45591501,pvd
I70.508,ICD10CM,"Unspecified atherosclerosis of nonautologous biological bypass graft(s) of the extremities, other extremity",45552832,pvd
