CUI,LAT,TS,LUI,STT,SUI,ISPREF,AUI,SAUI,SCUI,SDUI,SAB,TTY,CODE,STR,SRL,SUPPRESS,CVF,dummy,STYs,PREFIX_CODE,ICD10CMCode,concept_code,concept_id,domain_id
C0025295,ENG,P,L0025295,VCW,S0000252,N,A17787168,,,G00.1,ICD10CM,PT,G00.1,Pneumococcal meningitis,4,N,256.0,,['Disease or Syndrome'],G00,G001,G00.1,35207294,Condition
C0025500,ENG,S,L0595783,PF,S0687695,N,A17837647,,,C45.9,ICD10CM,PT,C45.9,"Mesothelioma, unspecified",4,N,256.0,,['Neoplastic Process'],C45,C459,C45.9,35206212,Condition
C0025517,ENG,S,L0815982,PF,S0944976,N,A17863569,,,E88.9,ICD10CM,PT,E88.9,"Metabolic disorder, unspecified",4,N,256.0,,['Disease or Syndrome'],E88,E889,E88.9,35207107,Condition
C0026106,ENG,P,L9985615,VO,S12493211,N,A20115771,,,F70,ICD10CM,PT,F70,Mild intellectual disabilities,4,N,256.0,,['Mental or Behavioral Dysfunction'],F70,F70,F70,35207238,Condition
C0026948,ENG,S,L0843721,PF,S11649650,Y,A17825106,,,C84.00,ICD10CM,PT,C84.00,"Mycosis fungoides, unspecified site",4,N,256.0,,['Neoplastic Process'],C84,C8400,C84.00,45605313,Condition
C0027034,ENG,S,L0597534,PF,S0699588,N,A17773627,,,B87.2,ICD10CM,PT,B87.2,Ocular myiasis,4,N,256.0,,['Disease or Syndrome'],B87,B872,B87.2,35206001,Condition
C0027497,ENG,P,L0027497,PF,S0065335,N,A17816150,,,R11.0,ICD10CM,PT,R11.0,Nausea,4,N,256.0,,['Sign or Symptom'],R11,R110,R11.0,45534429,Condition
C0027611,ENG,S,L0027611,VW,S0218859,N,A17790209,,,P39.1,ICD10CM,PT,P39.1,Neonatal conjunctivitis and dacryocystitis,4,N,,,['Disease or Syndrome'],P39,P391,P39.1,35210543,Condition
C0027832,ENG,S,L0467862,VC,S0695751,Y,A18916613,,,Q85.02,ICD10CM,PT,Q85.02,"Neurofibromatosis, type 2",4,N,256.0,,['Neoplastic Process'],Q85,Q8502,Q85.02,45544120,Condition
C0028431,ENG,P,L1222373,VO,S0218782,N,A17802370,,,M95.0,ICD10CM,PT,M95.0,Acquired deformity of nose,4,N,256.0,,['Acquired Abnormality'],M95,M950,M95.0,35209142,Condition
