"Code","Description","id"
"B0822","Exanthema subitum [sixth disease] due to human herpesvirus 7",641
"B083","Erythema infectiosum [fifth disease]",642
"B084","Enteroviral vesicular stomatitis with exanthem",643
"B085","Enteroviral vesicular pharyngitis",644
"B0860","Parapoxvirus infection, unspecified",645
"B0861","Bovine stomatitis",646
"B0862","Sealpox",647
"B0869","Other parapoxvirus infections",648
"B0870","Yatapoxvirus infection, unspecified",649
"B0871","Tanapox virus disease",650
"B0872","Yaba pox virus disease",651
"B0879","Other yatapoxvirus infections",652
"B088","Other specified viral infections characterized by skin and mucous membrane lesions",653
"B09","Unspecified viral infection characterized by skin and mucous membrane lesions",654
"B1001","Human herpesvirus 6 encephalitis",655
"B1009","Other human herpesvirus encephalitis",656
"B1081","Human herpesvirus 6 infection",657
"B1082","Human herpesvirus 7 infection",658
"B1089","Other human herpesvirus infection",659
"B150","Hepatitis A with hepatic coma",660
"B159","Hepatitis A without hepatic coma",661
"B160","Acute hepatitis B with delta-agent with hepatic coma",662
"B161","Acute hepatitis B with delta-agent without hepatic coma",663
"B162","Acute hepatitis B without delta-agent with hepatic coma",664
"B169","Acute hepatitis B without delta-agent and without hepatic coma",665
"B170","Acute delta-(super) infection of hepatitis B carrier",666
"B1710","Acute hepatitis C without hepatic coma",667
"B1711","Acute hepatitis C with hepatic coma",668
"B172","Acute hepatitis E",669
"B178","Other specified acute viral hepatitis",670
"B179","Acute viral hepatitis, unspecified",671
"B180","Chronic viral hepatitis B with delta-agent",672
"B181","Chronic viral hepatitis B without delta-agent",673
"B182","Chronic viral hepatitis C",674
"B188","Other chronic viral hepatitis",675
"B189","Chronic viral hepatitis, unspecified",676
